File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\Default.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\attendance.cs,1,1,0,0,0,0,0,0,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\Convert.cs,41,28,13,3,6,0,7,36,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\crypto.cs,73,42,26,4,19,0,12,49,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\DataHelper.cs,163,81,55,11,59,0,23,60,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\Dataret.cs,61,47,21,8,7,0,7,36,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\dh.cs,69,42,28,4,15,0,12,49,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\dh2.cs,117,74,49,10,26,0,17,62,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\module1.cs,84,57,45,2,14,0,13,54,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\orientation.cs,101,63,46,5,21,1,17,67,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code\Student.cs,47,34,15,7,6,0,7,36,0,0
